Job;Date;Time;Status;Text;Batch/Info;User;Device;Sg;R/L;Option;Type;DM;Lens description;Blank description;Bcrv;Index;Reason;Reason Descr;Dep BR/RM;
268202;16.05.2026;00:00;SENG;Free Form Láser;FABIO;FABIO;LASER CCL MÓDULO;;R;;;75;Prog NOMAX PLS Poly (/TRANSCLEAR);VS 1.59 POLY SF SV PHOTOGRAY HC;6,000000;1,590000;;;;
268202;16.05.2026;00:00;SENG;Free Form Láser;FABIO;FABIO;LASER CCL MÓDULO;;L;;;75;Prog NOMAX PLS Poly (/TRANSCLEAR);VS 1.59 POLY SF SV PHOTOGRAY HC;6,000000;1,590000;;;;
267799;16.05.2026;00:00;SGEN;Free Form Generado;SERVER;SERVER;HSC MODULO XTS;;R;;;75;Prog NOMAX PLT Essential (/ADVANCED);VS BVS 1.56 FOTO UV420 AR SHMC;6,000000;1,560000;;;;
267799;16.05.2026;00:00;SGEN;Free Form Generado;SERVER;SERVER;HSC MODULO XTS;;L;;;75;Prog NOMAX PLT Essential (/ADVANCED);VS BVS 1.56 FOTO UV420 AR SHMC;6,000000;1,560000;;;;
266955;16.05.2026;00:00;SPOL;Free Form Pulido;SERVER;SERVER;CCP MODULO ONE;;R;;;75;Prog NOMAX PLT Essential (/ADVANCED);VS BVS 1.56 FOTO UV420 AR SHMC;4,000000;1,560000;;;;
266955;16.05.2026;00:00;SPOL;Free Form Pulido;SERVER;SERVER;CCP MODULO ONE;;L;;;75;Prog NOMAX PLT Essential (/ADVANCED);VS BVS 1.56 FOTO UV420 AR SHMC;4,000000;1,560000;;;;
268905;16.05.2026;00:01;SENG;Free Form Láser;FABIO;FABIO;LASER CCL MÓDULO;;R;;;75;Vision Sencilla Essential (/BLUE CRYSTAL);VS BVS 1.56 BLUE CUT SHMC BLUE AR;6,000000;1,560000;;;;
268905;16.05.2026;00:01;SENG;Free Form Láser;FABIO;FABIO;LASER CCL MÓDULO;;L;;;75;Vision Sencilla Essential (/BLUE CRYSTAL);VS BVS 1.56 BLUE CUT SHMC BLUE AR;6,000000;1,560000;;;;
267799;16.05.2026;00:01;SGEN;Free Form Generado;SERVER;SERVER;HSC MODULO XTS;;R;;;75;Prog NOMAX PLT Essential (/ADVANCED);VS BVS 1.56 FOTO UV420 AR SHMC;6,000000;1,560000;;;;
267799;16.05.2026;00:01;SGEN;Free Form Generado;SERVER;SERVER;HSC MODULO XTS;;L;;;75;Prog NOMAX PLT Essential (/ADVANCED);VS BVS 1.56 FOTO UV420 AR SHMC;6,000000;1,560000;;;;
